path,split
5ELK.dill,train
2IY3.dill,train
3R2C.dill,train
1QU2.dill,train
5J1O.dill,train
6DOU.dill,train
6DPF.dill,train
2Y8W.dill,train
3LWR.dill,test
1PN7.dill,train
3Q0S.dill,train
7CGM.dill,train
4WTM.dill,train
6HAU.dill,train
2RFK.dill,test
7CGG.dill,train
3OIN.dill,train
6H9I.dill,train
6YRQ.dill,train
6GVY.dill,train
3I62.dill,train
7N3P.dill,train
1I5L.dill,train
2DRB.dill,train
6DOS.dill,train
6BSJ.dill,train
1H4Q.dill,train
1BIV.dill,train
6LAX.dill,train
6DP7.dill,train
6DP1.dill,train
5ED2.dill,train
5E3H.dill,train
6DPH.dill,train
2XZO.dill,train
3J45.dill,val
3BO3.dill,train
4NGD.dill,train
4C8Z.dill,train
2DER.dill,train
4Z92.dill,train
3DKN.dill,train
5BTE.dill,train
1VTM.dill,train
6DPN.dill,train
3HXM.dill,train
3BSO.dill,val
6C4H.dill,train
4ATO.dill,train
6DP9.dill,train
1QFQ.dill,train
3BSX.dill,train
6RT4.dill,val
2TMV.dill,train
6H61.dill,val
5M0I.dill,train
1YTY.dill,train
1R2X.dill,train
1DFU.dill,test
1E8O.dill,test
5WWT.dill,train
4JK0.dill,train
6P7P.dill,train
5UZZ.dill,train
4ILL.dill,train
6DPM.dill,train
3BSB.dill,train
1X1L.dill,train
4HOS.dill,train
2DR9.dill,train
5WS2.dill,val
3O7V.dill,train
3UZT.dill,val
5AXM.dill,train
1FXL.dill,train
5F8L.dill,train
4YHW.dill,train
1S03.dill,test
7LYS.dill,train
5A0T.dill,train
6DOO.dill,train
6XLX.dill,train
5MFX.dill,val
6RA4.dill,train
1M5P.dill,val
5AXN.dill,train
6DPO.dill,train
7MSF.dill,train
6BJV.dill,train
6X5M.dill,train
7NUQ.dill,train
6BSI.dill,train
4Q9R.dill,train
4GHA.dill,train
4X4V.dill,train
5C0Y.dill,train
7MJV.dill,train
7KFN.dill,train
6YS5.dill,train
6YBV.dill,train
6DOT.dill,train
5F8G.dill,train
1ZDK.dill,train
4KR9.dill,train
4GHL.dill,train
2FZ2.dill,train
1ZBI.dill,train
2BNY.dill,val
7D7V.dill,train
4C4W.dill,train
4KR7.dill,train
6R9Q.dill,train
2MQV.dill,train
6DP8.dill,train
5BYM.dill,train
4M6D.dill,train
2ZZM.dill,test
4FTE.dill,train
6NY2.dill,train
5HP2.dill,train
5GJB.dill,train
1ZH5.dill,train
3U2E.dill,val
3UCU.dill,train
7M5O.dill,train
1U6B.dill,train
6M6R.dill,train
3VJR.dill,train
1M8Y.dill,train
2BH2.dill,test
7K9D.dill,train
6DOL.dill,train
5USG.dill,train
1LNG.dill,test
5Z9W.dill,train
6KWQ.dill,train
6GV4.dill,train
2C4Y.dill,train
5A0V.dill,train
4E78.dill,train
3T5N.dill,train
6UV3.dill,train
6OON.dill,train
5FJ4.dill,train
1HQ1.dill,test
2HVY.dill,train
1L9A.dill,train
1G59.dill,train
1ZHO.dill,train
4WTL.dill,train
6D2U.dill,train
4LCK.dill,train
4Y91.dill,train
6WAZ.dill,train
6LT7.dill,train
5WQE.dill,train
3WZI.dill,train
6XMG.dill,train
1ZBL.dill,train
2XS5.dill,train
6XH0.dill,train
6N6H.dill,train
3LOB.dill,train
4HOT.dill,train
6GX6.dill,train
1A34.dill,train
6DTA.dill,train
4TU0.dill,train
6DOF.dill,train
2IX1.dill,train
3R2D.dill,train
3GIB.dill,train
3ADD.dill,test
4WTF.dill,train
5W6V.dill,val
6SCF.dill,train
4ED5.dill,train
4S3N.dill,train
1P6V.dill,train
6D12.dill,val
2DRA.dill,train
1T1M.dill,train
6DPB.dill,train
3BSN.dill,train
4TYW.dill,train
5CCB.dill,train
5VOE.dill,train
1H3E.dill,test
7CGH.dill,train
6LAZ.dill,train
1M5O.dill,train
3K5Z.dill,train
7DMQ.dill,train
6A6J.dill,train
2QK9.dill,train
2FK6.dill,test
3ZJU.dill,train
2PXP.dill,val
4BW0.dill,train
6P7Q.dill,train
6DP2.dill,train
2PXD.dill,train
5A8L.dill,train
5A79.dill,train
7D1A.dill,train
5YTS.dill,train
2OIH.dill,train
7L1F.dill,train
4XCO.dill,train
5KL1.dill,val
2ATW.dill,train
4QU7.dill,val
4YYE.dill,train
4KZE.dill,train
3ADL.dill,train
3ZD6.dill,train
4WC5.dill,train
2X1F.dill,train
6WBR.dill,train
3EQ4.dill,train
4JZV.dill,train
4TUX.dill,train
1X18.dill,train
4ZLD.dill,train
4OLA.dill,train
6KR6.dill,train
3AM1.dill,train
3KTW.dill,train
2XD0.dill,train
3BOY.dill,train
6VFF.dill,train
6JOO.dill,train
6XMF.dill,train
6Q8U.dill,train
4C9D.dill,train
6O6V.dill,train
3T3O.dill,train
4NH3.dill,train
5EIM.dill,train
5HR6.dill,train
6WB2.dill,train
2CV0.dill,train
3J0Q.dill,train
3B0V.dill,train
1VFG.dill,val
4WTE.dill,train
5WZI.dill,val
6ASO.dill,train
3V71.dill,train
2ANN.dill,train
6VRC.dill,val
4QIK.dill,train
6DP0.dill,train
3K62.dill,train
5BZV.dill,train
3J9B.dill,train
3TRZ.dill,train
3ZJT.dill,val
4DWA.dill,train
5HO4.dill,train
6PPV.dill,train
5GXH.dill,train
1MVR.dill,train
